"id","bahan_id","satuan_awal","satuan_tujuan","rasio","catatan","created_at","updated_at"
"1","4","pcs","kg","10","1 pcs = 10kg","2025-01-18 01:03:07","2025-01-18 01:03:07"
"2","4","kg","gr","1000","1kg = 1000 gram","2025-01-18 01:03:53","2025-01-18 01:03:53"
"3","1","kg","ml","2000","1kg di cairkan = 2000","2025-01-18 01:05:33","2025-01-18 01:05:33"
"4","2","pcs","ltr","18","1pcs = 18 liter","2025-01-18 01:06:06","2025-01-18 01:06:06"
"5","2","ltr","ml","1000","1 liter = 1000 ml","2025-01-18 01:06:27","2025-01-18 01:06:27"
"6","22","pack","pcs","500","1 pack sedotan = 500 pcs","2025-01-18 01:07:13","2025-01-18 01:07:13"
"7","21","pcs","ml","365","1 pcs = 365 gram","2025-01-18 01:08:16","2025-01-18 01:08:16"
"8","16","pcs","ml","488","1pcs = 488 ml","2025-01-18 01:08:37","2025-01-18 01:08:37"
"9","20","pack","pcs","25","1 pack = isi 25 pcs","2025-01-18 12:45:18","2025-01-18 12:45:18"
